layer,rho,cv,recall_norm@0.05,recall_rnd@0.05,recall_orc@0.05,ret_norm@0.05,ret_orc@0.05,pos_norm@0.05,err_norm@0.05,err_rnd@0.05,err_orc@0.05,recall_norm@0.5,recall_rnd@0.5,recall_orc@0.5,ret_norm@0.5,ret_orc@0.5,pos_norm@0.5,err_norm@0.5,err_rnd@0.5,err_orc@0.5
0,-0.5016,0.1220,0.1063,0.0494,0.4926,0.0484,0.5156,0.4994,1.6608,0.7140,0.5758,0.7441,0.5033,0.9296,0.4861,0.9421,0.5001,0.5940,0.1922,0.1683
1,-0.3331,0.0626,0.7474,0.0477,0.8402,0.0307,0.5358,0.3397,1.0103,4.2478,0.5180,0.8913,0.5556,0.9665,0.4427,0.9783,0.4621,0.5248,1.6053,0.1182
2,-0.3170,0.0771,0.8706,0.0532,0.9411,0.0312,0.5573,0.3497,1.0174,10.7377,0.3683,0.9414,0.4694,0.9922,0.4163,0.9634,0.4563,0.5086,5.2947,0.0495
3,-0.2984,0.0756,0.8766,0.0530,0.9426,0.0209,0.5383,0.2821,0.7059,8.5689,0.2240,0.9465,0.5050,0.9927,0.4089,0.9844,0.4464,0.3542,3.7009,0.0283
4,-0.3518,0.0742,0.8162,0.0483,0.9182,0.0253,0.5912,0.2972,1.0636,6.3398,0.3478,0.9210,0.4995,0.9895,0.4213,0.9873,0.4473,0.4714,2.9274,0.0429
5,-0.3479,0.0915,0.7391,0.0393,0.9035,0.0305,0.5033,0.3557,1.2230,4.9152,0.2906,0.8835,0.5216,0.9908,0.4250,0.9516,0.4519,0.5559,2.2105,0.0307
6,-0.3401,0.0794,0.6930,0.0270,0.8696,0.0243,0.5708,0.3223,1.1611,4.0210,0.3233,0.8759,0.5040,0.9844,0.3972,0.9708,0.4448,0.4423,1.8429,0.0395
7,-0.3883,0.0908,0.6055,0.0605,0.8447,0.0313,0.5446,0.3567,1.5587,3.1752,0.3874,0.8395,0.5019,0.9823,0.4203,0.9632,0.4534,0.5644,1.5664,0.0448
8,-0.3469,0.0985,0.5551,0.0473,0.8389,0.0241,0.5581,0.3113,1.2450,2.4158,0.2323,0.8132,0.5191,0.9856,0.4019,0.9702,0.4390,0.4346,1.0886,0.0209
9,-0.3975,0.1058,0.5306,0.0453,0.8146,0.0222,0.4998,0.2886,1.2626,2.3774,0.3159,0.8158,0.4674,0.9805,0.3973,0.9355,0.4391,0.4399,1.1985,0.0353
10,-0.3224,0.0942,0.5233,0.0525,0.8238,0.0227,0.4771,0.2857,1.4103,2.2992,0.3350,0.7917,0.5232,0.9811,0.3893,0.9309,0.4308,0.5289,1.0560,0.0381
11,-0.3947,0.1052,0.4450,0.0435,0.7965,0.0286,0.5088,0.3283,1.4787,1.9228,0.2836,0.7753,0.5090,0.9812,0.4077,0.9434,0.4393,0.5178,0.8532,0.0315
12,-0.3568,0.0864,0.5815,0.0499,0.8902,0.0360,0.5739,0.3670,1.2282,2.7482,0.1864,0.8412,0.4863,0.9917,0.4289,0.9760,0.4503,0.4326,1.2968,0.0151
13,-0.3137,0.1054,0.3858,0.0461,0.7753,0.0246,0.4672,0.3003,1.2409,1.7841,0.2449,0.7353,0.4989,0.9824,0.4094,0.9281,0.4297,0.4244,0.7219,0.0222
14,-0.3065,0.0981,0.4758,0.0515,0.8239,0.0236,0.4761,0.3051,1.2029,1.9994,0.2083,0.7582,0.5023,0.9864,0.4173,0.9389,0.4378,0.4901,0.8667,0.0187
