L,method,budget,anchor_idx,anchor_offset,nll,ppl,kept_mean,kept_min,kept_max,seconds
8192,snapkv,0.05,0,50401,1.669732,5.310744,410.00,410,410,2.22
8192,snapkv,0.1,0,50401,1.636539,5.137358,819.00,819,819,1.00
8192,snapkv,0.2,0,50401,1.597572,4.941023,1638.00,1638,1638,1.02
8192,snapkv,0.5,0,50401,1.602825,4.967046,4096.00,4096,4096,1.06
8192,sink_window,0.05,0,50401,1.795594,6.023052,410.00,410,410,0.96
8192,sink_window,0.1,0,50401,1.790428,5.992015,819.00,819,819,0.96
8192,sink_window,0.2,0,50401,1.653301,5.224196,1638.00,1638,1638,0.97
8192,sink_window,0.5,0,50401,1.645431,5.183242,4096.00,4096,4096,1.02
8192,recency,0.05,0,50401,6.479334,651.536798,410.00,410,410,0.96
8192,recency,0.1,0,50401,5.947042,382.620052,819.00,819,819,0.97
8192,recency,0.2,0,50401,5.664553,288.459059,1638.00,1638,1638,0.98
8192,recency,0.5,0,50401,5.546022,256.216404,4096.00,4096,4096,1.02
8192,pyramidkv,0.05,0,50401,1.670368,5.314122,410.00,51,769,1.00
8192,pyramidkv,0.1,0,50401,1.637444,5.142008,819.00,71,1567,1.01
8192,pyramidkv,0.2,0,50401,1.605456,4.980129,1638.00,112,3164,1.03
8192,pyramidkv,0.5,0,50401,1.602432,4.965094,4096.00,235,7957,1.09
8192,normkv,0.05,0,50401,1.736652,5.678298,410.00,410,410,0.96
8192,normkv,0.1,0,50401,1.705221,5.502604,819.00,819,819,0.97
8192,normkv,0.2,0,50401,1.656916,5.243115,1638.00,1638,1638,0.99
8192,normkv,0.5,0,50401,1.623927,5.072975,4096.00,4096,4096,1.03
8192,tova,0.05,0,50401,1.721602,5.593484,410.00,410,410,0.99
8192,tova,0.1,0,50401,1.660710,5.263044,819.00,819,819,0.99
8192,tova,0.2,0,50401,1.628119,5.094284,1638.00,1638,1638,1.01
8192,tova,0.5,0,50401,1.602899,4.967412,4096.00,4096,4096,1.05
8192,random,0.05,0,50401,7.187828,1323.225489,410.00,410,410,0.96
8192,random,0.1,0,50401,6.909238,1001.484160,819.00,819,819,0.96
8192,random,0.2,0,50401,5.359265,212.568721,1638.00,1638,1638,0.98
8192,random,0.5,0,50401,3.884550,48.645040,4096.00,4096,4096,1.02
8192,full,1.0,0,50401,1.600141,4.953729,8192.00,8192,8192,1.08
