layer,rho,cv,recall_norm@0.05,recall_rnd@0.05,recall_orc@0.05,ret_norm@0.05,ret_orc@0.05,pos_norm@0.05,err_norm@0.05,err_rnd@0.05,err_orc@0.05,recall_norm@0.5,recall_rnd@0.5,recall_orc@0.5,ret_norm@0.5,ret_orc@0.5,pos_norm@0.5,err_norm@0.5,err_rnd@0.5,err_orc@0.5
0,-0.4214,0.1675,0.1346,0.0524,0.5663,0.0577,0.6246,0.4794,1.2730,0.7816,0.3052,0.7304,0.5017,0.9509,0.5140,0.9971,0.4986,0.5656,0.2212,0.0471
1,-0.1446,0.1063,0.1694,0.0493,0.5652,0.0435,0.5540,0.4487,2.1518,1.0286,0.5634,0.5740,0.5047,0.9398,0.4729,0.9958,0.4812,0.7265,0.3197,0.0944
2,-0.0737,0.0965,0.1160,0.0503,0.6087,0.0398,0.5240,0.4304,2.2598,1.2823,0.5492,0.5600,0.5013,0.9400,0.4464,0.9710,0.4707,0.8495,0.3539,0.0921
3,0.0254,0.0440,0.0768,0.0522,0.7473,0.0481,0.4505,0.5096,2.1952,1.1775,0.4238,0.4731,0.5017,0.9668,0.4869,0.9405,0.4968,1.0048,0.2668,0.0604
4,-0.1504,0.1154,0.5849,0.0504,0.7798,0.0381,0.5500,0.4020,0.9486,1.5966,0.3524,0.8215,0.4996,0.9766,0.4755,0.9706,0.4810,0.4212,0.3290,0.0301
5,-0.2708,0.1259,0.6133,0.0465,0.8372,0.0345,0.5431,0.3963,1.0024,1.5224,0.2920,0.8412,0.4983,0.9828,0.4669,0.9918,0.4737,0.4612,0.3521,0.0327
6,-0.2381,0.1138,0.3679,0.0503,0.6476,0.0340,0.5952,0.3909,1.5737,1.2709,0.5400,0.6820,0.4961,0.9497,0.4462,0.9920,0.4675,0.7973,0.4090,0.0728
7,0.1308,0.0371,0.0096,0.0667,0.9008,0.0464,0.4865,0.4856,6.9572,5.1234,0.2880,0.0945,0.4947,0.9863,0.4681,0.9559,0.4921,4.7858,2.4182,0.0411
8,-0.1254,0.0845,0.5952,0.0437,0.8296,0.0400,0.5906,0.4001,1.2363,3.6516,0.3411,0.8033,0.5132,0.9801,0.4588,0.9734,0.4677,0.5103,1.6175,0.0370
9,0.0889,0.0431,0.2353,0.0448,0.8457,0.0414,0.4337,0.4420,3.3337,3.8345,0.2793,0.3607,0.4527,0.9840,0.4655,0.9181,0.4772,2.2465,1.9532,0.0306
10,-0.1892,0.0846,0.6865,0.0532,0.8848,0.0466,0.7289,0.4448,1.1351,3.5141,0.2864,0.8434,0.5351,0.9891,0.4846,0.9943,0.4817,0.4918,1.5213,0.0219
11,-0.1752,0.0757,0.6271,0.0389,0.9003,0.0368,0.5965,0.4107,1.1633,3.4871,0.1797,0.8173,0.5181,0.9918,0.4310,0.9908,0.4674,0.5550,1.4880,0.0144
12,-0.1252,0.0696,0.4624,0.0507,0.8107,0.0359,0.5440,0.4098,1.2392,2.2176,0.2784,0.7281,0.4991,0.9776,0.4328,0.9708,0.4618,0.5558,1.0247,0.0310
13,0.0834,0.0410,0.1500,0.0439,0.8373,0.0403,0.4333,0.4347,3.7665,2.5942,0.2253,0.3271,0.4952,0.9871,0.4732,0.9179,0.4839,1.8294,1.2052,0.0198
14,0.0323,0.0716,0.4610,0.0483,0.8464,0.0263,0.6169,0.3496,1.1949,2.1857,0.1795,0.7000,0.4836,0.9865,0.3853,0.9894,0.4462,0.6210,1.0862,0.0149
15,0.1305,0.0426,0.0192,0.0500,0.8225,0.0390,0.5071,0.4489,4.7020,1.7916,0.2123,0.2299,0.5072,0.9852,0.4656,0.9471,0.4813,1.4315,0.7601,0.0187
16,-0.1715,0.0656,0.2609,0.0483,0.7985,0.0357,0.5595,0.4213,2.5537,2.1164,0.2616,0.5744,0.4848,0.9798,0.4585,0.9613,0.4734,0.9065,0.8573,0.0248
17,0.0604,0.0381,0.1111,0.0483,0.7787,0.0356,0.4425,0.4276,3.9490,1.4491,0.2258,0.4077,0.4902,0.9833,0.4458,0.9012,0.4699,0.8251,0.5343,0.0185
18,-0.1253,0.0538,0.1503,0.0467,0.8020,0.0410,0.5519,0.4502,2.0551,1.1647,0.1748,0.5895,0.4834,0.9862,0.4792,0.9555,0.4857,0.5228,0.4047,0.0136
