L,method,budget,anchor_idx,anchor_offset,nll,ppl,kept_mean,kept_min,kept_max,seconds
4096,snapkv,0.05,0,9134,1.206866,3.342991,205.00,205,205,2.00
4096,snapkv,0.1,0,9134,1.135668,3.113251,410.00,410,410,1.72
4096,snapkv,0.2,0,9134,1.089415,2.972536,819.00,819,819,1.73
4096,snapkv,0.5,0,9134,1.045592,2.845083,2048.00,2048,2048,1.75
4096,sink_window,0.05,0,9134,1.227059,3.411181,205.00,205,205,1.74
4096,sink_window,0.1,0,9134,1.176905,3.244316,410.00,410,410,1.74
4096,sink_window,0.2,0,9134,1.149404,3.156310,819.00,819,819,1.71
4096,sink_window,0.5,0,9134,1.076723,2.935046,2048.00,2048,2048,1.73
4096,recency,0.05,0,9134,3.138109,23.060224,205.00,205,205,1.70
4096,recency,0.1,0,9134,2.706615,14.978494,410.00,410,410,1.71
4096,recency,0.2,0,9134,2.655165,14.227333,819.00,819,819,1.74
4096,recency,0.5,0,9134,2.349540,10.480745,2048.00,2048,2048,1.75
4096,pyramidkv,0.05,0,9134,1.325245,3.763107,205.00,41,369,1.73
4096,pyramidkv,0.1,0,9134,1.298295,3.663047,410.00,51,769,1.73
4096,pyramidkv,0.2,0,9134,1.235689,3.440747,819.00,71,1567,1.74
4096,pyramidkv,0.5,0,9134,1.089927,2.974056,2048.00,133,3963,1.79
4096,normkv,0.05,0,9134,2.066625,7.898123,205.00,205,205,1.75
4096,normkv,0.1,0,9134,1.983878,7.270888,410.00,410,410,1.71
4096,normkv,0.2,0,9134,1.819237,6.167153,819.00,819,819,1.72
4096,normkv,0.5,0,9134,1.470467,4.351268,2048.00,2048,2048,1.74
4096,tova,0.05,0,9134,1.275099,3.579057,205.00,205,205,1.75
4096,tova,0.1,0,9134,1.172516,3.230108,410.00,410,410,1.74
4096,tova,0.2,0,9134,1.091066,2.977447,819.00,819,819,1.73
4096,tova,0.5,0,9134,1.055363,2.873018,2048.00,2048,2048,1.75
4096,random,0.05,0,9134,2.719685,15.175539,205.00,205,205,1.71
4096,random,0.1,0,9134,2.387249,10.883507,410.00,410,410,1.72
4096,random,0.2,0,9134,2.108606,8.236750,819.00,819,819,1.73
4096,random,0.5,0,9134,1.378106,3.967381,2048.00,2048,2048,1.74
4096,full,1.0,0,9134,1.050359,2.858676,4096.00,4096,4096,1.76
4096,snapkv,0.05,1,24409,2.345462,10.438092,205.00,205,205,1.14
4096,snapkv,0.1,1,24409,2.311484,10.089390,410.00,410,410,0.80
4096,snapkv,0.2,1,24409,2.239723,9.390727,819.00,819,819,0.81
4096,snapkv,0.5,1,24409,2.137759,8.480409,2048.00,2048,2048,0.83
4096,sink_window,0.05,1,24409,2.441295,11.487904,205.00,205,205,0.77
4096,sink_window,0.1,1,24409,2.340543,10.386873,410.00,410,410,0.77
4096,sink_window,0.2,1,24409,2.235169,9.348065,819.00,819,819,0.79
4096,sink_window,0.5,1,24409,2.094831,8.124064,2048.00,2048,2048,0.81
4096,recency,0.05,1,24409,4.673288,107.049128,205.00,205,205,0.77
4096,recency,0.1,1,24409,4.656273,105.243148,410.00,410,410,0.78
4096,recency,0.2,1,24409,4.321854,75.328130,819.00,819,819,0.78
4096,recency,0.5,1,24409,2.813359,16.665809,2048.00,2048,2048,0.80
4096,pyramidkv,0.05,1,24409,2.407450,11.105605,205.00,41,369,0.80
4096,pyramidkv,0.1,1,24409,2.355116,10.539353,410.00,51,769,0.80
4096,pyramidkv,0.2,1,24409,2.301057,9.984734,819.00,71,1567,0.81
4096,pyramidkv,0.5,1,24409,2.206602,9.084792,2048.00,133,3963,0.82
4096,normkv,0.05,1,24409,3.366422,28.974682,205.00,205,205,0.77
4096,normkv,0.1,1,24409,3.147365,23.274657,410.00,410,410,0.78
4096,normkv,0.2,1,24409,2.941801,18.949941,819.00,819,819,0.79
4096,normkv,0.5,1,24409,2.489115,12.050607,2048.00,2048,2048,0.81
4096,tova,0.05,1,24409,2.409360,11.126837,205.00,205,205,0.79
4096,tova,0.1,1,24409,2.314095,10.115759,410.00,410,410,0.79
4096,tova,0.2,1,24409,2.204603,9.066655,819.00,819,819,0.80
4096,tova,0.5,1,24409,2.065731,7.891066,2048.00,2048,2048,0.82
4096,random,0.05,1,24409,3.910356,49.916721,205.00,205,205,0.77
4096,random,0.1,1,24409,3.607533,36.874987,410.00,410,410,0.78
4096,random,0.2,1,24409,2.948040,19.068552,819.00,819,819,0.78
4096,random,0.5,1,24409,2.146065,8.551143,2048.00,2048,2048,0.80
4096,full,1.0,1,24409,2.073308,7.951078,4096.00,4096,4096,0.84
4096,snapkv,0.05,2,33401,2.387980,10.891476,205.00,205,205,1.15
4096,snapkv,0.1,2,33401,2.367391,10.669520,410.00,410,410,0.78
4096,snapkv,0.2,2,33401,2.363956,10.632937,819.00,819,819,0.79
4096,snapkv,0.5,2,33401,2.366254,10.657398,2048.00,2048,2048,0.81
4096,sink_window,0.05,2,33401,2.386940,10.880145,205.00,205,205,0.76
4096,sink_window,0.1,2,33401,2.379452,10.798981,410.00,410,410,0.77
4096,sink_window,0.2,2,33401,2.365567,10.650080,819.00,819,819,0.77
4096,sink_window,0.5,2,33401,2.358905,10.579364,2048.00,2048,2048,0.79
4096,recency,0.05,2,33401,2.980321,19.694136,205.00,205,205,0.76
4096,recency,0.1,2,33401,3.593410,36.357863,410.00,410,410,0.76
4096,recency,0.2,2,33401,3.562928,35.266305,819.00,819,819,0.78
4096,recency,0.5,2,33401,4.208114,67.229635,2048.00,2048,2048,0.79
4096,pyramidkv,0.05,2,33401,2.396709,10.986964,205.00,41,369,0.78
4096,pyramidkv,0.1,2,33401,2.382284,10.829614,410.00,51,769,0.79
4096,pyramidkv,0.2,2,33401,2.383137,10.838856,819.00,71,1567,0.79
